T(sec)	Sa(cm/s2)
11.26	-1.0817
11.27	7.4041
11.28	15.5192
11.29	18.2867
11.3	14.0188
11.31	7.9995
11.32	7.6191
11.33	13.7486
11.34	19.9438
11.35	20.0723
11.36	13.8875
11.37	5.5695
11.38	0.2823
11.39	2.0742
11.4	10.9129
11.41	20.3578
11.42	21.7631
11.43	13.272
11.44	2.6176
11.45	-1.0446
11.46	3.1509
11.47	7.3509
11.48	2.7761
11.49	-12.7907
11.5	-32.9563
11.51	-46.4592
11.52	-45.2311
11.53	-31.8588
11.54	-18.7467
11.55	-17.485
11.56	-28.3044
11.57	-40.7983
11.58	-44.6525
11.59	-38.3373
11.6	-27.7467
11.61	-18.9341
11.62	-13.7767
11.63	-11.0897
11.64	-9.0459
11.65	-5.9987
11.66	-1.2673
11.67	3.3083
11.68	4.1278
11.69	0.1348
11.7	-4.6525
11.71	-5.1992
11.72	-1.3697
11.73	2.7968
11.74	5.097
11.75	6.7527
11.76	7.5274
11.77	3.7141
11.78	-6.3085
11.79	-17.6989
11.8	-23.8733
11.81	-23.9757
11.82	-22.5708
11.83	-23.0448
11.84	-24.283
11.85	-23.3986
11.86	-19.3049
11.87	-13.7708
11.88	-10.4848
11.89	-12.0828
11.9	-16.3075
11.91	-16.4781
11.92	-8.3434
11.93	4.07
11.94	11.5023
11.95	7.9479
11.96	-5.0447
11.97	-20.7717
11.98	-31.8249
11.99	-33.8246
12	-27.9353
12.01	-19.5698
12.02	-12.9361
12.03	-7.8922
12.04	-3.5218
12.05	-2.1319
12.06	-6.5028
12.07	-15.1187
12.08	-23.7664
12.09	-30.3541
12.1	-34.4107
12.11	-33.5621
12.12	-25.479
12.13	-12.9173
12.14	-2.0415
12.15	4.617
12.16	9.3378
12.17	13.129
12.18	13.0525
12.19	6.8387
12.2	-3.564
12.21	-14.2273
12.22	-21.8549
12.23	-23.5994
12.24	-18.0057
12.25	-7.4374
12.26	3.2153
12.27	10.7957
12.28	14.301
12.29	12.146
12.3	3.8193
12.31	-5.6786
12.32	-8.7185
12.33	-4.1772
12.34	0.938
12.35	0.6982
12.36	-3.5601
12.37	-7.9142
12.38	-11.2962
12.39	-13.4402
12.4	-12.6253
12.41	-9.2202
12.42	-6.8893
12.43	-6.1868
12.44	-1.4273
12.45	11.1053
12.46	25.6731
12.47	33.5101
12.48	33.9754
12.49	33.3875
12.5	34.6158
12.51	34.0868
12.52	28.7085
12.53	19.9747
12.54	10.4897
12.55	1.261
12.56	-6.3879
12.57	-10.3598
12.58	-10.9105
12.59	-11.2207
12.6	-13.4386
12.61	-16.5063
12.62	-18.8214
12.63	-20.557
12.64	-22.0443
12.65	-21.8489
12.66	-18.0277
12.67	-10.4335
12.68	-1.0001
12.69	7.7738
12.7	14.7611
12.71	21.4608
12.72	30.7737
12.73	43.2895
12.74	55.4081
12.75	62.6748
12.76	64.3248
12.77	62.5534
12.78	57.6476
12.79	46.3971
12.8	26.5721
12.81	2.1208
12.82	-16.9594
12.83	-20.7742
12.84	-7.617
12.85	12.6259
12.86	24.8475
12.87	21.372
12.88	8.495
12.89	-0.977
12.9	-1.091
12.91	2.9923
12.92	2.8965
12.93	-3.9125
12.94	-13.1838
12.95	-19.0042
12.96	-18.3597
12.97	-12.3425
12.98	-4.594
12.99	1.6443
13	5.4484
13.01	7.26
13.02	7.0325
13.03	4.7708
13.04	2.3389
13.05	2.4933
13.06	5.4657
13.07	8.0218
13.08	6.7419
13.09	1.4138
13.1	-5.0552
13.11	-9.0715
13.12	-8.6244
13.13	-4.5119
13.14	0.2247
13.15	3.144
13.16	4.9403
13.17	7.978
13.18	12.2002
13.19	14.2672
13.2	11.6731
13.21	6.2829
13.22	2.4335
13.23	2.2445
13.24	3.8771
13.25	3.8873
13.26	0.3804
13.27	-5.668
13.28	-11.2594
13.29	-13.7547
13.3	-13.1379
13.31	-11.7872
13.32	-11.6609
13.33	-12.1759
13.34	-11.1995
13.35	-7.2718
13.36	-0.1766
13.37	9.4971
13.38	19.7326
13.39	26.5719
